acc1-1,acc1-2,acc1-3,gyro1-1,gyro1-2,gyro1-3,acc2-1,acc2-2,acc2-3,gyro2-1,gyro2-2,gyro2-3,acc3-1,acc3-2,acc3-3,gyro3-1,gyro3-2,gyro3-3,acc4-1,acc4-2,acc4-3,gyro4-1,gyro4-2,gyro4-3,acc5-1,acc5-2,acc5-3,gyro5-1,gyro5-2,gyro5-3,acc6-1,acc6-2,acc6-3,gyro6-1,gyro6-2,gyro6-3,acc7-1,acc7-2,acc7-3,gyro7-1,gyro7-2,gyro7-3,acc8-1,acc8-2,acc8-3,gyro8-1,gyro8-2,gyro8-3,acc9-1,acc9-2,acc9-3,gyro9-1,gyro9-2,gyro9-3,acc10-1,acc10-2,acc10-3,gyro10-1,gyro10-2,gyro10-3,label
0,-7.4,0.7,-38.3,56.7,-82.9,3.1,-4.1,-8.1,-38.3,56.7,-82.9,-5.3,-0.7,-13.3,-38.3,56.7,-82.9,-5.3,-0.7,-13.3,-25.4,93.6,79.4,-7.2,-4.5,-2.8,-25.4,93.6,79.4,-7.2,-4.5,-2.8,-38.2,-21.9,65.9,-4.6,-6.7,1.9,-38.2,-21.9,65.9,-4.6,-6.7,1.9,-81,-107.8,-14.7,4,-6.3,-5.9,-81,-107.8,-14.7,4,-6.3,-5.9,-37.6,72.2,-90.3,1
4,-6.3,-5.9,-23.8,82.6,15.2,-5.2,-1.5,-11,-23.8,82.6,15.2,-8.5,-1.6,-7.4,-23.8,82.6,15.2,-8.5,-1.6,-7.4,-38.1,36.7,100.3,-7.4,-4.5,1.8,-38.1,36.7,100.3,-7.4,-4.5,1.8,-65.2,-85.3,24.1,-7.4,-4.5,1.8,-72.3,-73.1,-115.8,0.5,-6.7,-1.8,-72.3,-73.1,-115.8,-0.4,-2.2,-9.5,-72.3,-73.1,-115.8,-0.4,-2.2,-9.5,-48,110.6,-66.4,1
-9,0.7,-7.8,-48,110.6,-66.4,-9,0.7,-7.8,-1.9,83.1,87.6,-9,0.7,-7.8,-31.1,-51,91.5,-9.7,-2.1,-1.7,-31.1,-51,91.5,-2.6,-6.4,1.8,-31.1,-51,91.5,-2.6,-6.4,1.8,-62.1,-107.7,-74.8,3.4,-5.5,-8.2,-62.1,-107.7,-74.8,3.4,-5.5,-8.2,-41.3,4.2,-111.2,-4.1,0.5,-11.9,-41.3,4.2,-111.2,-4.1,0.5,-11.9,-84.4,131.1,34.3,1
-10.4,1.1,-6.9,-84.4,131.1,34.3,-10.4,1.1,-6.9,-53.4,36.1,136.3,-6,-5,-0.4,-53.4,36.1,136.3,-6,-5,-0.4,-99.4,-125.4,17.7,2.8,-6,-4.2,-99.4,-125.4,17.7,2.8,-6,-4.2,-61.2,-20,-154.1,-4.5,-1,-9.1,-61.2,-20,-154.1,-4.5,-1,-9.1,-68.2,111.6,-32.2,-8.2,2,-8.3,-68.2,111.6,-32.2,-8.2,2,-8.3,-15.5,43.4,111.8,1
-8.9,-4.8,2,-15.5,43.4,111.8,-8.9,-4.8,2,-63.8,-88.8,68.6,-8.9,-4.8,2,-68,-67.2,-138.4,0.5,-7.2,-0.9,-68,-67.2,-138.4,0.5,-7.2,-0.9,-86.8,124.3,-68.2,-4.2,0.4,-12.6,-86.8,124.3,-68.2,-8.3,2.3,-8.9,-86.8,124.3,-68.2,-8.3,2.3,-8.9,-4.2,89.2,84,-9.3,-2.8,-3.6,-4.2,89.2,84,-9.3,-2.8,-3.6,5.2,-77.3,115.9,1
-9.3,-2.8,-3.6,-81.7,-71.3,-72.8,-1.5,-7.1,1.7,-81.7,-71.3,-72.8,-0.5,-2.2,-8.7,-81.7,-71.3,-72.8,-0.5,-2.2,-8.7,-16.6,130,-105.7,-7.1,1.5,-9.1,-16.6,130,-105.7,-7.1,1.5,-9.1,-23.4,75.5,87.4,-10.6,-0.8,-3.1,-23.4,75.5,87.4,-10.6,-0.8,-3.1,-47.4,-68.2,50,-1.6,-6.5,2.2,-47.4,-68.2,50,-1.6,-6.5,2.2,-55.9,-120.9,-40.4,1
3.6,-4.5,-8.4,-55.9,-120.9,-40.4,3.6,-4.5,-8.4,-70.5,47.2,-119.9,-5.4,0.6,-8.5,-70.5,47.2,-119.9,-5.4,0.6,-8.5,-116.5,152.4,38,-5.4,0.6,-8.5,-67.7,-18.9,101.6,-11.4,1.5,-2.7,-67.7,-18.9,101.6,-11.4,1.5,-2.7,-61.9,-108.3,-34.2,-5.8,-3.6,4,-61.9,-108.3,-34.2,-5.8,-3.6,4,-22.9,8.5,-110.6,1.4,-7,-5.3,-22.9,8.5,-110.6,1
1.4,-7,-5.3,-8.8,126.4,-23.2,-5.1,0.3,-9.8,-8.8,126.4,-23.2,-5.1,0.3,-9.8,-72,37.5,122.8,-11.5,3.6,-6.6,-72,37.5,122.8,-11.5,3.6,-6.6,-77.1,-125.3,-24,-5.7,-3.3,1.6,-77.1,-125.3,-24,-5.7,-3.3,1.6,-27.8,-41.8,-102.2,2,-7.2,-1.5,-27.8,-41.8,-102.2,-2.7,-1.8,-9.6,-27.8,-41.8,-102.2,-2.7,-1.8,-9.6,-102.8,155.7,-23.1,1
-10,1.8,-5.6,-102.8,155.7,-23.1,-10,1.8,-5.6,-25,57.5,116,-10,1.8,-5.6,-4.1,-112.6,55.2,-8.4,-1.7,1.2,-4.1,-112.6,55.2,1.9,-7.8,1.6,-4.1,-112.6,55.2,1.9,-7.8,1.6,-30.9,-48.7,-60.5,1.1,-3.9,-9.1,-30.9,-48.7,-60.5,1.1,-3.9,-9.1,-98.9,85.3,-95.2,1.1,-3.9,-9.1,-78.1,116,75.1,-8.4,0.1,-8.8,-78.1,116,75.1,1
-8.7,1.4,0.7,-78.1,116,75.1,-8.7,1.4,0.7,-121.1,-109.7,1.7,2.7,-7.2,3.8,-121.1,-109.7,1.7,2.7,-7.2,3.8,-91.9,-60.2,-48.4,2.8,-1.2,-9.6,-91.9,-60.2,-48.4,2.8,-1.2,-9.6,-82.6,198.6,-102.2,2.8,-1.2,-9.6,-8.9,69.6,102.8,-9.1,2.1,-10.4,-8.9,69.6,102.8,-9.1,2.1,-10.4,-5.4,-99.2,71.2,-7.4,-4.8,-0.1,-5.4,-99.2,71.2,1
3,-7.4,0.2,-5.4,-99.2,71.2,3,-7.4,0.2,-62.9,-59.2,-79.2,3,-7.4,0.2,-66.3,153.8,-59.6,-1.9,-3,-10.2,-66.3,153.8,-59.6,-9.9,0,-7.7,-66.3,153.8,-59.6,-9.9,0,-7.7,-41.5,68.6,88.7,-9.7,-2.7,-1.3,-41.5,68.6,88.7,-9.7,-2.7,-1.3,-62.1,-65.5,61.8,2.8,-7.2,3.4,-62.1,-65.5,61.8,2.8,-7.2,3.4,-97,-70.2,-44.1,1
2.8,-5.2,-8.2,-97,-70.2,-44.1,2.8,-5.2,-8.2,-56,62.4,-99.4,2.8,-5.2,-8.2,-22.1,103,69.9,-7.3,0.4,-9.5,-22.1,103,69.9,-7.3,0.4,-9.5,-68.6,-17.9,116.3,-10.2,-0.7,-3.3,-68.6,-17.9,116.3,0,-7.3,2,-68.6,-17.9,116.3,0,-7.3,2,-31.2,-136.1,-36,3.4,-5.9,-6.6,-31.2,-136.1,-36,3.4,-5.9,-6.6,-39.6,30.8,-104.9,1
-6.3,-1.7,-9.2,-39.6,30.8,-104.9,-6.3,-1.7,-9.2,-41.7,114.1,44.6,-6.3,-1.7,-9.2,-111.2,41,154.9,-12.8,2.4,-4.3,-111.2,41,154.9,-12.8,2.4,-4.3,-68.3,-166.8,18.8,-5.6,-4.6,2.4,-68.3,-166.8,18.8,2,-7.7,-0.9,-68.3,-166.8,18.8,2,-7.7,-0.9,-20.1,-5.7,-116.7,-4,-2.1,-11.2,-20.1,-5.7,-116.7,-4,-2.1,-11.2,-57.2,114.2,-41.2,1
-4,-2.1,-11.2,-41.5,83.9,106.5,-7,-0.7,-9.2,-41.5,83.9,106.5,-7,-0.7,-9.2,-80.4,-113.4,38.6,-8.1,-3.4,-0.4,-80.4,-113.4,38.6,2.9,-7.9,1.5,-80.4,-113.4,38.6,2.9,-7.9,1.5,-82.2,-51.2,-87.4,-1.3,-3.9,-9.1,-82.2,-51.2,-87.4,-1.3,-3.9,-9.1,-67,113.9,-62.6,-9.1,1.1,-9.7,-67,113.9,-62.6,-9.1,1.1,-9.7,18.7,73,83.5,1
-9.1,1.1,-9.7,-107.7,-77.8,61.3,-9.1,-1.3,-0.6,-107.7,-77.8,61.3,-9.1,-1.3,-0.6,-79.1,-86.8,-88.6,2.3,-7.9,1.5,-79.1,-86.8,-88.6,2.3,-7.9,1.5,-9,109.3,-62.7,-3.3,-2.9,-10.2,-9,109.3,-62.7,-7.8,1.4,-7.7,-9,109.3,-62.7,-7.8,1.4,-7.7,-31.4,115.8,98.8,-10.4,0.2,-2.9,-31.4,115.8,98.8,-10.4,0.2,-2.9,-79.1,-76.4,58.8,1
